id_unico,titulo,ano,metodo_identificado_leitura,usa_ahp_extracao_automatica,usa_topsis_extracao_automatica,usa_outro_mcdm_extracao_automatica,metodo_mcdm_especifico_extracao_automatica
REG_03383,Occupants’ Behavioral Analysis for the Optimization of Building Operation and Maintenance: A Case Study to Improve the Use of Elevators in a University Building,2021,framework,nao,nao,nao,
REG_03670,Improving maintenance management practices on green building projects,2020,framework,nao,nao,nao,
REG_03759,Risk management in facility management for data centres: status and deficits,2020,framework,nao,nao,nao,
REG_03763,A review of sustainable facility management research,2020,framework,nao,nao,nao,
REG_03843,Application of fuzzy topsis for selecting most sustainable building wall material,2020,TOPSIS,nao,sim,nao,TOPSIS
REG_03843,Application of fuzzy topsis for selecting most sustainable building wall material,2020,MCDM,nao,sim,nao,TOPSIS
REG_03843,Application of fuzzy topsis for selecting most sustainable building wall material,2020,fuzzy,nao,sim,nao,TOPSIS
REG_03843,Application of fuzzy topsis for selecting most sustainable building wall material,2020,decision support,nao,sim,nao,TOPSIS
REG_03843,Application of fuzzy topsis for selecting most sustainable building wall material,2020,framework,nao,sim,nao,TOPSIS
REG_03844,Application of fuzzy topsis for selecting most sustainable building wall material,2020,TOPSIS,nao,sim,nao,TOPSIS
REG_03844,Application of fuzzy topsis for selecting most sustainable building wall material,2020,MCDM,nao,sim,nao,TOPSIS
REG_03844,Application of fuzzy topsis for selecting most sustainable building wall material,2020,fuzzy,nao,sim,nao,TOPSIS
REG_03844,Application of fuzzy topsis for selecting most sustainable building wall material,2020,decision support,nao,sim,nao,TOPSIS
REG_03844,Application of fuzzy topsis for selecting most sustainable building wall material,2020,framework,nao,sim,nao,TOPSIS
REG_04015,Energy-efficient retrofitting of multi-storey residential buildings,2020,framework,nao,nao,nao,
REG_04052,Forecasting repair schedule for building components based on case-based reasoning and fuzzy-AHP,2019,AHP,sim,nao,nao,AHP
REG_04052,Forecasting repair schedule for building components based on case-based reasoning and fuzzy-AHP,2019,fuzzy,sim,nao,nao,AHP
REG_04052,Forecasting repair schedule for building components based on case-based reasoning and fuzzy-AHP,2019,scoring,sim,nao,nao,AHP
REG_04052,Forecasting repair schedule for building components based on case-based reasoning and fuzzy-AHP,2019,case-based reasoning,sim,nao,nao,AHP
REG_04052,Forecasting repair schedule for building components based on case-based reasoning and fuzzy-AHP,2019,framework,sim,nao,nao,AHP
REG_04120,Proposed research methodology for establishing the critical success factors for maintenance management of hospital buildings,2019,framework,nao,nao,nao,
REG_04122,Green maintainability assessment of high-rise vertical greenery systems,2019,framework,nao,nao,nao,
REG_04126,Early decision-making for school building renovation,2019,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04126,Early decision-making for school building renovation,2019,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04163,LCC estimation model: A construction material perspective,2019,optimization,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04163,LCC estimation model: A construction material perspective,2019,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04163,LCC estimation model: A construction material perspective,2019,life-cycle cost,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04163,LCC estimation model: A construction material perspective,2019,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04203,An Integrated Computerised Maintenance Management System (I-CMMS) for IBS building maintenance,2019,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
